dt,portfolio_id,nav
2019-02-10,a000Y000019ZliRQAS,100722.67
2019-02-09,a000Y000019ZliRQAS,100722.67
2019-02-08,a000Y000019ZliRQAS,100656.62
2019-02-07,a000Y000019ZliRQAS,100904.64
2019-02-06,a000Y000019ZliRQAS,101470.2
2019-02-05,a000Y000019ZliRQAS,101379.12
2019-02-04,a000Y000019ZliRQAS,100729.47
2019-02-03,a000Y000019ZliRQAS,100449.8
2019-02-02,a000Y000019ZliRQAS,100449.8
2019-02-01,a000Y000019ZliRQAS,100495.14
2019-01-31,a000Y000019ZliRQAS,100310.28
2019-01-30,a000Y000019ZliRQAS,99752.7
2019-01-29,a000Y000019ZliRQAS,99076.33
2019-01-28,a000Y000019ZliRQAS,98995.58
2019-01-27,a000Y000019ZliRQAS,99614.56
2019-01-26,a000Y000019ZliRQAS,99614.56
2019-01-25,a000Y000019ZliRQAS,100117.13
2019-01-24,a000Y000019ZliRQAS,99267.05
2019-01-23,a000Y000019ZliRQAS,99086.31
2019-01-22,a000Y000019ZliRQAS,99162.64
2019-01-21,a000Y000019ZliRQAS,99922.34
2019-01-20,a000Y000019ZliRQAS,99945.76
2019-01-19,a000Y000019ZliRQAS,99945.76
2019-01-18,a000Y000019ZliRQAS,99777.24
2019-01-17,a000Y000019ZliRQAS,98594.08
2019-01-16,a000Y000019ZliRQAS,98138.27
2019-01-15,a000Y000019ZliRQAS,97413.38
2019-01-14,a000Y000019ZliRQAS,96777.84
2019-01-13,a000Y000019ZliRQAS,97089.22
2019-01-12,a000Y000019ZliRQAS,97089.22
2019-01-11,a000Y000019ZliRQAS,96951.13
2019-01-10,a000Y000019ZliRQAS,96584.25
2019-01-09,a000Y000019ZliRQAS,96939.81
2019-01-08,a000Y000019ZliRQAS,95853.52
2019-01-07,a000Y000019ZliRQAS,95986.16
2019-01-06,a000Y000019ZliRQAS,95235.37
2019-01-05,a000Y000019ZliRQAS,95235.37
2019-01-04,a000Y000019ZliRQAS,95215.96
2019-01-03,a000Y000019ZliRQAS,93654.52
2019-01-02,a000Y000019ZliRQAS,94103.6
2019-01-01,a000Y000019ZliRQAS,94079.22
